	-0.32	-0.92	2387
0.15	0.04	-0.87	4082
0.15	0.05	-0.86	4087
0.16	0.06	-0.87	4092
0.17	0.06	-0.87	4098
0.17	0.06	-0.86	4102
0.17	0.05	-0.87	4107
0.16	0.05	-0.87	4112
0.15	0.06	-0.87	4117
0.14	0.05	-0.89	4122
0.12	0.05	-0.91	4126
0.11	0.06	-0.91	4131
0.10	0.06	-0.91	4136
0.11	0.06	-0.90	4142
0.12	0.06	-0.91	4147
0.12	0.06	-0.90	4152
0.13	0.06	-0.89	4156
0.15	0.06	-0.88	4161
0.16	0.06	-0.86	4166
0.17	0.07	-0.86	4171
0.16	0.06	-0.85	4176
0.16	0.06	-0.84	4180
0.17	0.07	-0.83	4186
0.17	0.07	-0.82	4191
0.16	0.06	-0.83	4196
0.16	0.06	-0.82	4201
0.16	0.06	-0.82	4206
0.16	0.07	-0.83	4210
0.18	0.07	-0.82	4215
0.19	0.07	-0.83	4220
0.21	0.08	-0.83	4226
0.21	0.09	-0.84	4231
0.21	0.09	-0.85	4235
0.21	0.10	-0.86	4240
0.21	0.09	-0.86	4245
0.20	0.08	-0.87	4250
0.19	0.08	-0.88	4255
0.19	0.08	-0.89	4260
0.19	0.07	-0.91	4264
0.19	0.06	-0.91	4270
0.20	0.05	-0.92	4275
0.20	0.05	-0.92	4280
0.21	0.04	-0.93	4285
0.22	0.04	-0.93	4289
0.24	0.04	-0.92	4294
0.24	0.04	-0.92	4299
0.23	0.03	-0.91	4304
0.23	0.02	-0.90	4310
0.20	0.02	-0.89	4315
0.19	0.03	-0.89	4319
0.16	0.03	-0.90	4324
0.15	0.04	-0.91	4329
0.13	0.05	-0.93	4334
0.11	0.06	-0.95	4339
0.10	0.06	-0.97	4344
0.08	0.07	-0.99	4349
0.08	0.07	-1.00	4355
0.07	0.07	-1.01	4359
0.07	0.08	-1.02	4364
0.07	0.08	-1.03	4369
0.07	0.08	-1.03	4374
0.07	0.08	-1.03	4379
0.08	0.07	-1.03	4384
0.09	0.07	-1.03	4388
0.09	0.06	-1.03	4393
0.10	0.05	-1.03	4399
0.10	0.04	-1.03	4404
0.10	0.04	-1.02	4409
0.11	0.03	-1.02	4414
0.12	0.03	-1.02	4418
0.12	0.03	-1.02	4423
0.13	0.02	-1.01	4428
0.13	0.02	-0.99	4433
0.13	0.02	-0.98	4439
0.13	0.01	-0.98	4443
0.13	0.01	-0.98	4448
0.13	0.01	-0.97	4453
0.14	0.01	-0.96	4458
0.15	0.02	-0.95	4463
0.16	0.02	-0.94	4468
0.14	-0.00	-0.93	4472
0.14	0.00	-0.92	4477
0.16	0.01	-0.92	4483
0.16	0.00	-0.91	4488
0.16	-0.01	-0.91	4493
0.16	-0.01	-0.91	4497
0.17	-0.01	-0.90	4502
0.18	0.00	-0.90	4507
0.17	-0.00	-0.89	4512
0.17	-0.00	-0.88	4517
0.16	-0.01	-0.87	4523
0.16	-0.00	-0.87	4527
0.15	-0.00	-0.87	4532
0.13	-0.00	-0.89	4537
0.12	-0.00	-0.90	4542
0.10	0.00	-0.92	4547
0.09	0.01	-0.93	4551
0.09	0.01	-0.95	4556
0.09	0.01	-0.97	4561
0.10	0.02	-0.98	4567
0.10	0.02	-0.99	4572
0.10	0.02	-0.99	4576
0.10	0.01	-0.99	4581
0.11	0.01	-0.99	4586
0.11	0.01	-0.98	4591
0.10	0.01	-0.97	4596
0.10	0.00	-0.97	4601
0.09	0.00	-0.96	4605
0.09	0.00	-0.96	4611
0.08	0.00	-0.96	4616
0.09	0.00	-0.96	4621
0.09	0.00	-0.97	4626
0.09	0.00	-0.97	4631
0.10	-0.00	-0.97	4635
0.10	-0.00	-0.97	4640
0.12	-0.01	-0.97	4645
0.12	-0.01	-0.96	4651
0.13	-0.02	-0.96	4656
0.13	-0.02	-0.97	4660
0.13	-0.02	-0.96	4666
0.14	-0.02	-0.96	4670
0.14	-0.02	-0.96	4675
0.13	-0.03	-0.97	4680
0.13	-0.03	-0.98	4685
0.14	-0.03	-0.99	4690
0.14	-0.03	-0.99	4696
0.15	-0.02	-1.00	4700
0.15	-0.03	-1.01	4705
0.15	-0.03	-1.01	4710
0.15	-0.03	-1.01	4715
